Название;Место;Форма участия;Дата;Дедлайн;Организатор;Почта;Ссылка
Межведомственная научно-практическая конференция «Информатизация и техническое обеспечение УИС: проблемы, решения и перспективы развития»;Россия, Тверь;очная;3 октября 2021 г. — 5 октября 2021 г.;15 августа 2021 г.;Федеральное казенное учреждение «Научно-исследовательский институт информационных технологий Федеральной службы исполнения наказаний»;niiit@fsin.gov.ru;https://konferencii.ru/info/138119
IX Международный Балтийский морской форум;Россия, Калининград;очная;4 октября 2021 г. — 9 октября 2021 г.;20 сентября 2021 г.;ФГБОУ ВО «Калининградский государственный технический университет»;onti@klgtu.ru;https://konferencii.ru/info/137792
II Международная конференция «Германия и Россия: экосистемы без границ – 2021»;Россия, Калининград;очная;4 октября 2021 г. — 9 октября 2021 г.;20 сентября 2021 г.;ФГБОУ ВО «Калининградский государственный технический университет»;elena.moroz@klgtu.ru;https://konferencii.ru/info/137793
Международная научная конференция «Фундаментальная лингвистика и проблемы судебной экспертизы: социальные сети как объект научного и экспертного анализа»;Россия, Москва;очно-заочная;5 октября 2021 г. — 6 октября 2021 г.;1 июня 2021 г.;"ФГБОУ ВО «Государственный институт русского языка им. А. С. Пушкина»; ГБУ «Московский исследовательский центр»";ogorelkov.69@mail.ru;https://konferencii.ru/info/134699
X Международная научно-практическая конференция «Экономика в теории и на практике: актуальные вопросы и современные аспекты»;Россия, Пенза;заочная;5 октября 2021 г. — 5 октября 2021 г.;5 октября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/137758
X Международная научно-практическая конференция «Педагогика в теории и на практике: актуальные вопросы и современные аспекты»;Россия, Пенза;заочная;5 октября 2021 г. — 5 октября 2021 г.;5 октября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/137759
X Международная научно-практическая конференция «Юриспруденция в теории и на практике: актуальные вопросы и современные аспекты»;Россия, Пенза;заочная;5 октября 2021 г. — 5 октября 2021 г.;5 октября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/137760
V Международный научно-исследовательский конкурс «Лучшие студенческие исследования»;Россия, Пенза;заочная;5 октября 2021 г. — 5 октября 2021 г.;5 октября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/138087
VIII Международная научная конференция молодых учёных: вирусологов, биотехнологов, молекулярных биологов и биофизиков «OpenBio – 2021»;Россия, Новосибирск;очная;5 октября 2021 г. — 8 октября 2021 г.;1 сентября 2021 г.;АНО «Инновационный центр Кольцово»;openbio@openbio.ru;https://konferencii.ru/info/136675
3-я Евразийская конференция «Инновации в минимизации природных и техногенных рисков»;Грузия, Тбилиси;очно-заочная;5 октября 2021 г. — 7 октября 2021 г.;15 августа 2021 г.;"Международная компания организатор мероприятий AMIR Technical Services; Грузинский технический университет; City University of Hong Kong;International Group on Reliability «Forum Gnedenko» (The USA); Институт нефтегазовой геологии и геофизики имени А.А.Трофимука, Сибирского отделения Российской Академии наук";prof.vugar.aliyev@gmail.com;https://konferencii.ru/info/137440
Межвузовская научная конференция студентов и аспирантов «Studia Orientalia Juvenica – 2021»;Россия, Москва;очно-заочная;6 октября 2021 г. — 6 октября 2021 г.;30 июня 2021 г.;"Кафедра современного Востока факультета истории, политологии и права Историко-архивного института РГГУ; Международный российско-иранский центр РГГУ";confrsuh@yandex.ru;https://konferencii.ru/info/137718
IV Международная научно-практическая конференция «Предпринимательство и инновации на рынках Азиатско-Тихоокеанского региона»;Россия, Владивосток;очно-заочная;6 октября 2021 г. — 8 октября 2021 г.;30 июня 2021 г.;ФГАОУ ВО «Дальневосточный федеральный университет»;safetylab@dvfu.ru;https://konferencii.ru/info/137712
XII Международная конференция «Транспортная инфраструктура для устойчивого развития регионов» (TITDS-XII-2021);Россия, Иркутск;on-line (zoom, skype и др.);6 октября 2021 г. — 8 октября 2021 г.;5 октября 2021 г.;Проводится Иркутским государственным университетом путей сообщения (ИРГУПС) и Красноярским краевым Домом науки и техники РосСНИО при поддержке Правительства Иркутской области и Федерального агентства железнодорожного транспорта ;krasnio@bk.ru;https://konferencii.ru/info/137972
I (ХIV) Международная научно-практическая конференция «Методологические, теоретические и практические аспекты физического воспитания, спортивной тренировки, оздоровительной и адаптивной физической культуры»;Беларусь, Гомель;очно-заочная;7 октября 2021 г. — 8 октября 2021 г.;20 июня 2021 г.;Учреждение образования «Гомельский государственный университет имени Франциска Скорины», Факультет физической культуры;malinovsky@gsu.by;https://konferencii.ru/info/137673
IV Международная научно-практическая конференция «Актуальные научно-технические и экологические проблемы сохранения среды обитания» (ICEP – 2021);Беларусь, Брест;очная;7 октября 2021 г. — 8 октября 2021 г.;31 мая 2021 г.;Учреждение образования «Брестский государственный технический университет»;fise.conf@tut.by;https://konferencii.ru/info/137699
VII Международная конференция «Аддитивные технологии: настоящее и будущее»;Россия, Москва;очная;7 октября 2021 г. — 8 октября 2021 г.;3 сентября 2021 г.;ФГУП «ВИАМ» ГНЦ РФ;polimer@viam.ru;https://konferencii.ru/info/135868
Международная студенческая научная конференция «Саммиты БРИКС и ШОС в России: сотрудничество в многополярном мире»;Россия, Москва;очно-заочная;7 октября 2021 г. — 7 октября 2021 г.;15 сентября 2021 г.;"Кафедра зарубежного регионоведения и внешней политики Факультета международных отношений и зарубежного регионоведения Историко-архивного института; Международный научный центр изучения Южной Азии; Центр изучения стран Бенилюкс; Институт стран Африки и Азии Московского государственного университета им. М.В. Ломоносова (МГУ)";csas@rggu.ru;https://konferencii.ru/info/138205
Всероссийская конференция с международным участием и элементами научной школы для молодёжи «Экотоксикология – 2021»;Россия, Тула;очно-заочная;7 октября 2021 г. — 8 октября 2021 г.;10 сентября 2021 г.;"ФГБОУ ВО «Тульский государственный университет»; ФГБУН Институт биохимии и физиологии микроорганизмов им. Г.К. Скрябина РАН; Фонд содействия развитию малых форм предприятий в научно-технической сфере; Научно-образовательный центр «Экобиотехнология»";ecotoxicologyTSU@gmail.com;https://konferencii.ru/info/138000
XXXII Международная научно-практическая конференция «European Research»;Россия, Пенза;заочная;7 октября 2021 г. — 7 октября 2021 г.;7 октября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/136520
Международная научно-практическая конференция «Инновационные технологии в агропромышленном, лесном и химическом комплексах и рациональное природопользование»;Россия, Великий Новгород;очно-заочная;7 октября 2021 г. — 7 октября 2021 г.;10 июня 2021 г.;Институт сельского хозяйства и природных ресурсов Новгородского государственного университета имени Ярослава Мудрого.;conference.ishpr@yandex.ru;https://konferencii.ru/info/137503
XI Всероссийская научно-методическая конференция «Актуальные проблемы преподавания математики в техническом вузе» ;Россия, Омск;on-line (zoom, skype и др.);8 октября 2021 г. — 9 октября 2021 г.;1 октября 2021 г.;Кафедра «Высшая математика», Омский государственный технический университет;math@omgtu.ru;https://konferencii.ru/info/136641
XIII Международная научная конференция «Педагогическое мастерство»;Россия, Казань;заочная;10 октября 2021 г. — 13 октября 2021 г.;30 сентября 2021 г.;Издательство «Молодой ученый»;info@moluch.ru;https://konferencii.ru/info/138203
XX Международный научно-исследовательский конкурс «Достижения вузовской науки 2021»;Россия, Пенза;заочная;10 октября 2021 г. — 10 октября 2021 г.;10 октября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/138088
XVII Международная молодёжная научно-техническая конференция «Современные проблемы радиоэлектроники и телекоммуникаций» (РТ – 2021);Россия, Севастополь;очная;11 октября 2021 г. — 15 октября 2021 г.;31 мая 2021 г.;ФГАОУ ВО «Севастопольский государственный университет» ;savochkin@sevsu.ru;https://konferencii.ru/info/136560
XV IEEE Международная конференция по использованию информационно-коммуникационных технологий;Азербайджан, Баку;on-line (zoom, skype и др.);13 октября 2021 г. — 15 октября 2021 г.;10 июля 2021 г.;Университет ADA, Университет Джорджа Вашингтона (США), Институтом информационных наук и технологий (Национального исследовательского совета Италии ISTI CNR), Азербайджанской секции IEEE;aict@aict.info;https://konferencii.ru/info/137947
V Международная научно-практическая конференция «Язык и культура в эпоху интеграции научного знания и профессионализации образования»;Россия, Пятигорск;очно-заочная;14 октября 2021 г. — 15 октября 2021 г.;14 сентября 2021 г.;ФГБОУ ВО «Пятигорский государственный университет»;conference.iiyamt@pgu.ru;https://konferencii.ru/info/138190
Международный научно-практический форум по проблемам устойчивого развития в цифровом мире «Человек. Экономика. Технологии. Социум» – International Scientific and Practical Forum on Sustainable Development in the Digital World «Human. Economy. Technology. Society» (HETS 2021);Россия, Красноярск;очно-заочная;14 октября 2021 г. — 16 октября 2021 г.;5 октября 2021 г.;"Сибирский федеральный университет (г. Красноярск, Россия), Институт вычислительного моделирования СО РАН (г. Красноярск, Россия), Национальный исследовательский университет ИТМО 
 (г. Санкт-Петербург, Россия), Сибирская пожарно-спасательная академия ГПС МЧС России (г. Железногорск, Россия), University of Cadiz (Испания), Ассоциация поддержки научных исследований (г. Барнаул, Россия)
";mail@conferences.science;https://konferencii.ru/info/137894
Всероссийская научно-практическая конференция с международным участием «Мобильность и миграция учителей в условиях цифровой и социокультурной трансформации»;Россия, Липецк;очно-заочная;14 октября 2021 г. — 14 октября 2021 г.;14 октября 2021 г.;"Министерство Просвещения Российской Федерации; Липецкий государственный педагогический университет имени П.П. Семенова-Тян-Шанского ";philosophia@rambler.ru;https://konferencii.ru/info/138129
Научно-теоретическая конференция «Всероссийские двадцать вторые научные чтения по актуальным проблемам социальной истории, философии и социальной работы»;Россия, Новочеркасск;очная;14 октября 2021 г. — 15 октября 2021 г.;12 октября 2021 г.;"Министерство сельского хозяйства Российской Федерации; Департамент образования, научно-технологической политики и рыбохозяйственного комплекса Новочеркасский инженерно-мелиоративный институт имени А.К. Кортунова – филиал федерального государственного бюджетного образовательного учреждения высшего образования «Донской государственный аграрный университет»";kaf.istor@ya.ru;https://konferencii.ru/info/137771
X Международный научно-исследовательский конкурс «Конкурс лучших студенческих работ»;Россия, Пенза;заочная;15 октября 2021 г. — 15 октября 2021 г.;15 октября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/134816
Всероссийский сборник научных трудов «Социально-гуманитарный вестник»;Россия, Краснодар;очно-заочная;15 октября 2021 г. — 16 октября 2021 г.;15 октября 2021 г.;"Российское общество интеллектуальной истории; Краснодарское отделение Российского общества интеллектуальной истории";bulezko@yandex.ru;https://konferencii.ru/info/138229
Международный научный журнал «Промышленность и сельское хозяйство» (10/2021);Украина, Макеевка;заочная;15 октября 2021 г. — 15 октября 2021 г.;15 октября 2021 г.;Донбасская аграрная академия;donagra@yandex.ua;https://konferencii.ru/info/137996
Международный научный журнал «Психология человека и общества» (10/2021);Украина, Макеевка;заочная;15 октября 2021 г. — 15 октября 2021 г.;15 октября 2021 г.;Донбасская аграрная академия;donagra@yandex.ua;https://konferencii.ru/info/137997
Международный научный журнал «Правовая позиция» (10/2021);Украина, Макеевка;заочная;15 октября 2021 г. — 15 октября 2021 г.;15 октября 2021 г.;Донбасская аграрная академия;donagra@yandex.ua;https://konferencii.ru/info/137998
ХIII Церковно-научная конференция «Обретение святых»;Россия, Киров;очно-заочная;16 октября 2021 г. — 16 октября 2021 г.;1 октября 2021 г.;Церковно-исторический центр Вятской епархии Русской Православной Церкви;o_alexander@mail.ru;https://konferencii.ru/info/137961
Международная научно-практическая конференция «Достоевский – 2021»;Россия, Москва;очная;19 октября 2021 г. — 20 октября 2021 г.;1 сентября 2021 г.;"Государственный институт русского языка им. А.С.Пушкина; Московская духовная академия РПЦ";SLeonov@pushkin.institute;https://konferencii.ru/info/138128
Научно-практический журнал «Право.by» (5/2021);Беларусь, Минск;заочная;20 октября 2021 г. — 20 октября 2021 г.;20 августа 2021 г.;Национальный центр правовой информации Республики Беларусь;journal@ncpi.gov.by;https://konferencii.ru/info/137639
Международная конференция «Инженерные исследования – 2021»;Россия, Москва;on-line (zoom, skype и др.);20 октября 2021 г. — 22 октября 2021 г.;6 июля 2021 г.;Российский университет дружбы народов;malkova_myu@pfur.ru;https://konferencii.ru/info/138208
Национальная научно-практическая конференция «Актуальные вопросы аграрной науки»;Россия, Ульяновск;заочная;20 октября 2021 г. — 21 октября 2021 г.;23 сентября 2021 г.;ФГБОУ ВО Ульяновский государственный аграрный университет;nicugsha@yandex.ru;https://konferencii.ru/info/138246
Международная научно-практическая конференция «Экологическая, промышленная и энергетическая безопасность – 2021»;Россия, Севастополь;очная;20 октября 2021 г. — 23 октября 2021 г.;1 апреля 2021 г.;ФГАОУ ВО «Севастопольский государственный университет» ;dvkucherik@sevsu.ru;https://konferencii.ru/info/136561
Международная научно-практическая конференция «Концепция и программно-проектный инструментарий устойчивого социально-экономического развития территориальных систем» (S-TERRA 2021);Россия, Пенза;on-line (zoom, skype и др.);20 октября 2021 г. — 21 октября 2021 г.;15 октября 2021 г.;"Пензенский государственный университет (г. Пенза, Россия), Ассоциация поддержки научных исследований (г. Барнаул, Россия), Институт проблем региональной экономики РАН (г. Санкт-Петербург, Россия), School of Technology and Management of Portalegre (Portalegre, Portugal)
";mail@conferences.science;https://konferencii.ru/info/137903
IV Всероссийская научно-практическая конференция «Гражданская война на востоке России: взгляд сквозь документальное наследие»;Россия, Омск;очно-заочная;20 октября 2021 г. — 21 октября 2021 г.;10 сентября 2021 г.;"Министерство культуры Омской области; Бюджетное учреждение Омской области «Исторический архив Омской области; Министерство науки и высшего образования РФ; Федеральное государственное бюджетное образовательное учреждение высшего образования
«Омский государственный технический университет»; Министерство обороны РФ; Омский автобронетанковый инженерный институт";dimario86@rambler.ru;https://konferencii.ru/info/137973
XXII Международная научно-практическая конференция «Проблемы прогнозирования и государственного регулирования социально-экономического развития»;Беларусь, Минск;очно-заочная;21 октября 2021 г. — 22 октября 2021 г.;6 сентября 2021 г.;"Министерство экономики Республики Беларусь; Научно-исследовательский экономический институт Министерства экономики Республики Беларусь";niei-tezisi@niei.by;https://konferencii.ru/info/138163
V Межрегиональная конференция «Исторические сады и парки России. От средневековья к XXI веку»;Россия, Москва;очная;21 октября 2021 г. — 21 октября 2021 г.;14 октября 2021 г.;Московский государственный объединенный художественный историко-архитектурный и природно-ландшафтный музей-заповедник «Коломенское, Измайлово»;sektorprosvet@mail.ru;https://konferencii.ru/info/137664
Международная научно-практическая конференция «Концептуальные проблемы экономики и управления на транспорте: взгляд в будущее» (MEFiT 2021);Россия, Москва;очно-заочная;21 октября 2021 г. — 21 октября 2021 г.;1 октября 2021 г.;Российский университет транспорта (МИИТ) (г. Москва, Россия), Ассоциация поддержки научных исследований (г. Барнаул, Россия), Институт проблем управления им. В. А. Трапезникова РАН (г. Москва, Россия), Московский государственный университет им. М. В. Ломоносова (г. Москва, Россия), АО «Институт экономики и развития транспорта» (г. Москва, Россия), Институт развития транспортных систем (г. Москва, Россия), The HTW Dresden – University of Applied Sciences (Dresden, Germany);mail@conferences.science;https://konferencii.ru/info/138239
II Международный научно-практический форум по социальным и поведенческим наукам (SBS 2021);Россия, Барнаул;очно-заочная;21 октября 2021 г. — 22 октября 2021 г.;1 октября 2021 г.;Ассоциация поддержки научных исследований;sbs@conferences.science;https://konferencii.ru/info/136294
Международная научно-практическая конференция «Химия, экология и рациональное природопользование»;Россия, Магас;очно-заочная;21 октября 2021 г. — 23 октября 2021 г.;31 августа 2021 г.;ФГБОУ ВО «Ингушский государственный университет»;konferencia-2020@mail.ru;https://konferencii.ru/info/138181
XI Всероссийская научно-практическая конференция «Перспективные направления в области физической культуры, спорта и туризма»;Россия, Нижневартовск;on-line (zoom, skype и др.);21 октября 2021 г. — 21 октября 2021 г.;17 октября 2021 г.;Нижневартовский государственный университет;ffkisnvconf@mail.ru;https://konferencii.ru/info/137952
Всероссийская научно-техническая конференция «Проблемы и перспективы развития металломатричных композиционных материалов»;Россия, Москва;очная;22 октября 2021 г. — 22 октября 2021 г.;24 сентября 2021 г.;ФГУП «ВИАМ» ГНЦ РФ;material@viam.ru;https://konferencii.ru/info/135875
Всероссийская научно-практическая конференция «Личность. Общество. Государство: Проблемы развития и взаимодействия. К 115-й годовщине рождения российского парламентаризма» (37-е Адлерские чтения);Россия, Сочи;очно-заочная;22 октября 2021 г. — 26 октября 2021 г.;22 августа 2021 г.;"Общество «Знание»; администрация Краснодарского края; Законодательное Собрание Краснодарского края; Кубанский государственный университет";Adler-30@yandex.ru;https://konferencii.ru/info/137008
IV Всероссийская научно-техническая конференция с международным участием «Инновационные проекты и технологии машиностроительных производств»;Россия, Омск;очно-заочная;22 октября 2021 г. — 22 октября 2021 г.;30 сентября 2021 г.;"Министерство транспорта Российской Федерации; Федеральное агентство железнодорожного транспорта; ОАО «Российские железные дороги»; Омский государственный университет путей сообщения";ttmirps@gmail.com;https://konferencii.ru/info/138211
IV Международная научно-практическая конференция молодых учёных «Актуальные проблемы литературоведения, языкознания и культуры Восточной Сибири, Монголии и Китая»;Россия, Улан-Удэ;очная;22 октября 2021 г. — 22 октября 2021 г.;10 октября 2021 г.;ФГБОУ ВО «Восточно-Сибирский государственный институт культуры»;isakov.nikol@gmail.com;https://konferencii.ru/info/137962
XXIV Международные научные чтения «Язык как материал словесности»;Россия, Москва;очная;23 октября 2021 г. — 23 октября 2021 г.;30 июля 2021 г.;Кафедра русского языка и стилистики Литературного института имени А.М. Горького;Gorshkovskie.chteniya@gmail.com;https://konferencii.ru/info/137981
Всероссийская научно-практическая конференция «Цвет в пространственных искусствах и дизайне»;Россия, Санкт-Петербург;очно-заочная;25 октября 2021 г. — 25 октября 2021 г.;10 сентября 2021 г.;ФГБОУ ВО «Санкт-Петербургская государственная художественно-промышленная академия имени А. Л. Штиглица»;izcvetasotkano@mail.ru;https://konferencii.ru/info/138168
Монография «Инновационное развитие науки и образования»;Россия, Пенза;заочная;25 октября 2021 г. — 25 октября 2021 г.;25 октября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/138227
Международная научная конференция «Проблемы культурно-исторического развития Крыма, Тамани и черноморско-каспийских степей в финале средней бронзы – начале раннего железного века (конец III – начало I тыс. до н.э.)»;Россия, Ростов-на-Дону;очная;25 октября 2021 г. — 28 октября 2021 г.;28 февраля 2021 г.;Кафедра археологии и истории древнего мира Института истории и международных отношений (ИИМО) Южного Федерального Университета, ФГАОУ ВО «ЮФУ»;volgodon5@mail.ru;https://konferencii.ru/info/132114
VII Всероссийская научно-практическая конференция «Теоретические и практические аспекты образования в сфере культуры и искусства»;Россия, Сургут;очно-заочная;25 октября 2021 г. — 26 октября 2021 г.;17 сентября 2021 г.;Департамент культуры Ханты-Мансийского автономного округа – Югры, БУ «Сургутский музыкальный колледж»;smcmetodist@mail.ru;https://konferencii.ru/info/137776
21-я Международная конференция «Профессиональная культура специалиста будущего»;Россия, Санкт-Петербург;очная;26 октября 2021 г. — 27 октября 2021 г.;26 апреля 2021 г.;Санкт-Петербургский Политехнический университет Петра Великого;pcsf@spbstu.ru;https://konferencii.ru/info/136535
25-я Международная научно-практическая конференция «Инновация – 2021»;Узбекистан, Ташкент;очно-заочная;26 октября 2021 г. — 27 октября 2021 г.;30 июня 2021 г.;"Ташкентский государственный технический университет; Межотраслевой Центр стратегических инноваций и информатизации, Узбекское отделение Международной Академии наук Высшей школы, Навоийский горно-металлургический комбинат, Алмалыкский горно-металлургический комбинат, Узбекский металлургический комбинат";conference@innovation.uz;https://konferencii.ru/info/137473
VII Международная научно-практическая конференция «Информационные технологии и право (Правовая информатизация – 2021)»;Беларусь, Минск;очно-заочная;28 октября 2021 г. — 28 октября 2021 г.;1 октября 2021 г.;Национальный центр правовой информации Республики Беларусь (НЦПИ) и Кафедра ЮНЕСКО по информационным технологиям и праву НЦПИ совместно с Верховным Судом Республики Беларусь, Министерством юстиции Республики Беларусь, Белорусской республиканской коллегией адвокатов, Белорусской нотариальной палатой, юридическим факультетом Белорусского государственного университета и Национальной библиотекой Беларуси;conf@ncpi.gov.by;https://konferencii.ru/info/137475
III Всероссийская научно-практическая конференция «Актуальные проблемы филологии и методики преподавания иностранных языков»;Россия, Новосибирск;очно-заочная;8 ноября 2021 г. — 11 ноября 2021 г.;8 октября 2021 г.;ФГБОУ ВО «Новосибирский государственный педагогический университет»;topical-issues@nspu.ru;https://konferencii.ru/info/138109
Международная научно-техническая конференция «Транспортные системы для развития территорий»;Россия, Омск;очная;9 ноября 2021 г. — 11 ноября 2021 г.;1 июля 2021 г.;Омский государственный технический университет;economic.research@omgtu.tech;https://konferencii.ru/info/137434
XV Международная научно-техническая конференция «Динамика систем, механизмов и машин»;Россия, Омск;очная;9 ноября 2021 г. — 11 ноября 2021 г.;1 июля 2021 г.;Омский государственный технический университет;dynamics2016@omgtu.tech;https://konferencii.ru/info/137435
VIII Всероссийская научно-практическая конференция «Менеджмент качества в библиотеках»;Россия, Санкт-Петербург;очно-заочная;10 ноября 2021 г. — 10 ноября 2021 г.;31 октября 2021 г.;Центральная городская публичная библиотека им. В. В. Маяковского;chnv@cgpb.ru;https://konferencii.ru/info/137914
Научный журнал «Известия высших учебных заведений. Серия «Экономика, финансы и управление производством» (4/2021);Россия, Иваново;заочная;10 ноября 2021 г. — 10 ноября 2021 г.;10 ноября 2021 г.;Федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский государственный химико-технологический университет»;magazine.eco-fin@mail.ru;https://konferencii.ru/info/138233
III Международная научно-практическая конференция «Системы управления, математическое моделирование, автоматизация и энергоэффективность» (SUMMA 2021);Россия, Липецк;очная;10 ноября 2021 г. — 12 ноября 2021 г.;18 июля 2021 г.;ФГБОУ ВО Липецкий государственный технический университет;summa@stu.lipetsk.ru;https://konferencii.ru/info/137512
XII Международная научно-практическая конференция «Конкурентный потенциал региона: оценка и эффективность использования»;Россия, Абакан;очно-заочная;10 ноября 2021 г. — 11 ноября 2021 г.;15 октября 2010 г.;ФГБОУ ВО «Хакасский государственный университет им. Н.Ф. Катанова», Институт экономики и управления (г. Абакан);alyonapechenckina@yandex.ru;https://konferencii.ru/info/137970
IХ Международная научно-практическая конференция «Культура, наука, образование: проблемы и перспективы»;Россия, Нижневартовск;on-line (zoom, skype и др.);10 ноября 2021 г. — 10 ноября 2021 г.;10 октября 2021 г.;Нижневартовский государственный университет;konf@nvsu.ru;https://konferencii.ru/info/137951
Х Международная молодёжная конференция «Перспективы науки и образования»;США, Нью-Йорк;заочная;10 ноября 2021 г. — 10 ноября 2021 г.;9 ноября 2021 г.;Издательство «Премьер Паблишинг», Австрия-Чехия («Premier Publishing» s.r.o.) совместно с канадским издательством Accent Graphics Communications & Publishing и издательством Slovo/WORD (Нью Йорк, США);pub@ppublishing.org;https://konferencii.ru/info/127305
Международная конференция «Моделирование и методы расчета строительных конструкций»;Россия, Москва;очная;11 ноября 2021 г. — 13 ноября 2021 г.;15 октября 2021 г.;Московский государственный строительный университет;mmsa@mgsu.ru;https://konferencii.ru/info/137484
Международная конференция «Достоевский в смене эпох и поколений»;Россия, Омск;очно-заочная;11 ноября 2021 г. — 14 ноября 2021 г.;18 июня 2021 г.;Федеральное государственное бюджетное образовательное учреждение высшего образования «Омский государственный университет им. Ф.М. Достоевского»;fmdostocentr@yandex.ru;https://konferencii.ru/info/137775
VI Всероссийская научно-техническая конференция с международным участием «Эксплуатационная надежность локомотивного парка и повышение эффективности тяги поездов»;Россия, Омск;очно-заочная;12 ноября 2021 г. — 12 ноября 2021 г.;17 октября 2021 г.;"Министерство транспорта Российской Федерации; Федеральное агентство железнодорожного транспорта; ОАО «Российские железные дороги»; Омский государственный университет путей сообщения";program.omgups@gmail.com;https://konferencii.ru/info/138212
Всероссийская научно-практическая конференция с международным участием «Психология творчества и одаренности»;Россия, Москва;очно-заочная;15 ноября 2021 г. — 17 ноября 2021 г.;1 мая 2021 г.;"ФГБНУ «Психологический институт Российской академии образования»
Московское региональное отделение Российского психологического общества; ФГБОУ ВО «Московский государственный университет имени М. В. Ломоносова»; ФГБОУ ВО «Московский педагогический государственный университет»; ФГБНУ «Институт коррекционной педагогики Российской академии образования»; ФГБОУ ВО «Московский государственный технический университет имени Н. Э. Баумана (национальный исследовательский университет)»; Ассоциация технических университетов; Ассоциация спортивных психологов; Российское общество Януша Корчака";mpo-130@mail.ru;https://konferencii.ru/info/137335
